DATE,HORIZON,ASSET_TYPE,ASSET,EXPECTED_COST
2017-12-31,1M,Equity Common Stock,AFL.N,2.00%
2017-12-31,1M,Equity Common Stock,AES.N,2.00%
2017-12-31,1M,Equity Common Stock,ABT.N,2.00%
2017-12-31,1M,Equity Common Stock,ABMD.OQ,2.00%
2017-12-31,1M,Equity Common Stock,ATVI.OQ,2.00%
2017-12-31,1M,Equity Common Stock,ADBE.OQ,2.00%
2017-12-31,1M,Equity Common Stock,AMD.OQ,2.00%
2017-12-31,1M,Equity Common Stock,AMG.N,2.00%
2017-12-31,1M,Equity Common Stock,APD.N,2.00%
2017-12-31,1M,Equity Common Stock,ALK.N,2.00%
2017-12-31,1M,Equity Common Stock,ALB.N,2.00%
2017-12-31,1M,Equity Common Stock,ALXN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,HON.N,2.00%
2017-12-31,1M,Equity Common Stock,ALL.N,2.00%
2017-12-31,1M,Equity Common Stock,ARNC.N,2.00%
2017-12-31,1M,Equity Common Stock,HES.N,2.00%
2017-12-31,1M,Equity Common Stock,AEE.N,2.00%
2017-12-31,1M,Equity Common Stock,AEP.N,2.00%
2017-12-31,1M,Equity Common Stock,AXP.N,2.00%
2017-12-31,1M,Equity Common Stock,AIG.N,2.00%
2017-12-31,1M,Equity Common Stock,ABC.N,2.00%
2017-12-31,1M,Equity Common Stock,AME.N,2.00%
2017-12-31,1M,Equity Common Stock,AMGN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,APH.N,2.00%
2017-12-31,1M,Equity Common Stock,APC.N,2.00%
2017-12-31,1M,Equity Common Stock,ADI.OQ,2.00%
2017-12-31,1M,Equity Common Stock,AON.N,2.00%
2017-12-31,1M,Equity Common Stock,APA.N,2.00%
2017-12-31,1M,Equity Common Stock,AIV.N,2.00%
2017-12-31,1M,Equity Common Stock,AAPL.OQ,2.00%
2017-12-31,1M,Equity Common Stock,AMAT.OQ,2.00%
2017-12-31,1M,Equity Common Stock,ADM.N,2.00%
2017-12-31,1M,Equity Common Stock,ADSK.OQ,2.00%
2017-12-31,1M,Equity Common Stock,ADP.OQ,2.00%
2017-12-31,1M,Equity Common Stock,AZO.N,2.00%
2017-12-31,1M,Equity Common Stock,AVB.N,2.00%
2017-12-31,1M,Equity Common Stock,AVY.N,2.00%
2017-12-31,1M,Equity Common Stock,BBT.N,2.00%
2017-12-31,1M,Equity Common Stock,BHGE.N,2.00%
2017-12-31,1M,Equity Common Stock,BLL.N,2.00%
2017-12-31,1M,Equity Common Stock,BAX.N,2.00%
2017-12-31,1M,Equity Common Stock,BDX.N,2.00%
2017-12-31,1M,Equity Common Stock,VZ.N,2.00%
2017-12-31,1M,Equity Common Stock,BRKb.N,2.00%
2017-12-31,1M,Equity Common Stock,BBY.N,2.00%
2017-12-31,1M,Equity Common Stock,HRB.N,2.00%
2017-12-31,1M,Equity Common Stock,BA.N,2.00%
2017-12-31,1M,Equity Common Stock,BWA.N,2.00%
2017-12-31,1M,Equity Common Stock,BSX.N,2.00%
2017-12-31,1M,Equity Common Stock,BMY.N,2.00%
2017-12-31,1M,Equity Common Stock,BFb.N,2.00%
2017-12-31,1M,Equity Common Stock,CI.N,2.00%
2017-12-31,1M,Equity Common Stock,CMS.N,2.00%
2017-12-31,1M,Equity Common Stock,CSX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CVS.N,2.00%
2017-12-31,1M,Equity Common Stock,COG.N,2.00%
2017-12-31,1M,Equity Common Stock,CDNS.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CPB.N,2.00%
2017-12-31,1M,Equity Common Stock,STZ.N,2.00%
2017-12-31,1M,Equity Common Stock,COF.N,2.00%
2017-12-31,1M,Equity Common Stock,CAH.N,2.00%
2017-12-31,1M,Equity Common Stock,CCL.N,2.00%
2017-12-31,1M,Equity Common Stock,CAT.N,2.00%
2017-12-31,1M,Equity Common Stock,CELG.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CERN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,JPM.N,2.00%
2017-12-31,1M,Equity Common Stock,CVX.N,2.00%
2017-12-31,1M,Equity Common Stock,CHD.N,2.00%
2017-12-31,1M,Equity Common Stock,CINF.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CSCO.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CTAS.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CTXS.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CLX.N,2.00%
2017-12-31,1M,Equity Common Stock,KO.N,2.00%
2017-12-31,1M,Equity Common Stock,CL.N,2.00%
2017-12-31,1M,Equity Common Stock,CMA.N,2.00%
2017-12-31,1M,Equity Common Stock,CA.OQ,2.00%
2017-12-31,1M,Equity Common Stock,DXC.N,2.00%
2017-12-31,1M,Equity Common Stock,CAG.N,2.00%
2017-12-31,1M,Equity Common Stock,ED.N,2.00%
2017-12-31,1M,Equity Common Stock,COO.N,2.00%
2017-12-31,1M,Equity Common Stock,TAP.N,2.00%
2017-12-31,1M,Equity Common Stock,CPRT.OQ,2.00%
2017-12-31,1M,Equity Common Stock,GLW.N,2.00%
2017-12-31,1M,Equity Common Stock,CMI.N,2.00%
2017-12-31,1M,Equity Common Stock,DHI.N,2.00%
2017-12-31,1M,Equity Common Stock,DTE.N,2.00%
2017-12-31,1M,Equity Common Stock,DHR.N,2.00%
2017-12-31,1M,Equity Common Stock,DRI.N,2.00%
2017-12-31,1M,Equity Common Stock,TGT.N,2.00%
2017-12-31,1M,Equity Common Stock,DE.N,2.00%
2017-12-31,1M,Equity Common Stock,XRAY.OQ,2.00%
2017-12-31,1M,Equity Common Stock,DIS.N,2.00%
2017-12-31,1M,Equity Common Stock,DLTR.OQ,2.00%
2017-12-31,1M,Equity Common Stock,D.N,2.00%
2017-12-31,1M,Equity Common Stock,DOV.N,2.00%
2017-12-31,1M,Equity Common Stock,DUK.N,2.00%
2017-12-31,1M,Equity Common Stock,DRE.N,2.00%
2017-12-31,1M,Equity Common Stock,ETFC.OQ,2.00%
2017-12-31,1M,Equity Common Stock,EMN.N,2.00%
2017-12-31,1M,Equity Common Stock,ETN.N,2.00%
2017-12-31,1M,Equity Common Stock,ECL.N,2.00%
2017-12-31,1M,Equity Common Stock,EIX.N,2.00%
2017-12-31,1M,Equity Common Stock,EA.OQ,2.00%
2017-12-31,1M,Equity Common Stock,EMR.N,2.00%
2017-12-31,1M,Equity Common Stock,EOG.N,2.00%
2017-12-31,1M,Equity Common Stock,ETR.N,2.00%
2017-12-31,1M,Equity Common Stock,EFX.N,2.00%
2017-12-31,1M,Equity Common Stock,EQT.N,2.00%
2017-12-31,1M,Equity Common Stock,EQR.N,2.00%
2017-12-31,1M,Equity Common Stock,RE.N,2.00%
2017-12-31,1M,Equity Common Stock,EXPD.OQ,2.00%
2017-12-31,1M,Equity Common Stock,ESRX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,XOM.N,2.00%
2017-12-31,1M,Equity Common Stock,FMC.N,2.00%
2017-12-31,1M,Equity Common Stock,NEE.N,2.00%
2017-12-31,1M,Equity Common Stock,FAST.OQ,2.00%
2017-12-31,1M,Equity Common Stock,FDX.N,2.00%
2017-12-31,1M,Equity Common Stock,FRT.N,2.00%
2017-12-31,1M,Equity Common Stock,M.N,2.00%
2017-12-31,1M,Equity Common Stock,FITB.OQ,2.00%
2017-12-31,1M,Equity Common Stock,FISV.OQ,2.00%
2017-12-31,1M,Equity Common Stock,FE.N,2.00%
2017-12-31,1M,Equity Common Stock,FLS.N,2.00%
2017-12-31,1M,Equity Common Stock,BEN.N,2.00%
2017-12-31,1M,Equity Common Stock,FCX.N,2.00%
2017-12-31,1M,Equity Common Stock,AJG.N,2.00%
2017-12-31,1M,Equity Common Stock,GPS.N,2.00%
2017-12-31,1M,Equity Common Stock,IT.N,2.00%
2017-12-31,1M,Equity Common Stock,GD.N,2.00%
2017-12-31,1M,Equity Common Stock,GE.N,2.00%
2017-12-31,1M,Equity Common Stock,GIS.N,2.00%
2017-12-31,1M,Equity Common Stock,GPC.N,2.00%
2017-12-31,1M,Equity Common Stock,GILD.OQ,2.00%
2017-12-31,1M,Equity Common Stock,GT.OQ,2.00%
2017-12-31,1M,Equity Common Stock,GWW.N,2.00%
2017-12-31,1M,Equity Common Stock,HAL.N,2.00%
2017-12-31,1M,Equity Common Stock,HOG.N,2.00%
2017-12-31,1M,Equity Common Stock,HRS.N,2.00%
2017-12-31,1M,Equity Common Stock,HIG.N,2.00%
2017-12-31,1M,Equity Common Stock,HAS.OQ,2.00%
2017-12-31,1M,Equity Common Stock,HCP.N,2.00%
2017-12-31,1M,Equity Common Stock,WELL.N,2.00%
2017-12-31,1M,Equity Common Stock,HP.N,2.00%
2017-12-31,1M,Equity Common Stock,HSY.N,2.00%
2017-12-31,1M,Equity Common Stock,HPQ.N,2.00%
2017-12-31,1M,Equity Common Stock,HFC.N,2.00%
2017-12-31,1M,Equity Common Stock,HOLX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,HD.N,2.00%
2017-12-31,1M,Equity Common Stock,HRL.N,2.00%
2017-12-31,1M,Equity Common Stock,HST.N,2.00%
2017-12-31,1M,Equity Common Stock,HUM.N,2.00%
2017-12-31,1M,Equity Common Stock,JBHT.OQ,2.00%
2017-12-31,1M,Equity Common Stock,HBAN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,BIIB.OQ,2.00%
2017-12-31,1M,Equity Common Stock,MOS.N,2.00%
2017-12-31,1M,Equity Common Stock,IDXX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,ITW.N,2.00%
2017-12-31,1M,Equity Common Stock,INCY.OQ,2.00%
2017-12-31,1M,Equity Common Stock,IR.N,2.00%
2017-12-31,1M,Equity Common Stock,NKTR.OQ,2.00%
2017-12-31,1M,Equity Common Stock,INTC.OQ,2.00%
2017-12-31,1M,Equity Common Stock,IBM.N,2.00%
2017-12-31,1M,Equity Common Stock,IFF.N,2.00%
2017-12-31,1M,Equity Common Stock,IP.N,2.00%
2017-12-31,1M,Equity Common Stock,IPG.N,2.00%
2017-12-31,1M,Equity Common Stock,INTU.OQ,2.00%
2017-12-31,1M,Equity Common Stock,JEC.N,2.00%
2017-12-31,1M,Equity Common Stock,JNJ.N,2.00%
2017-12-31,1M,Equity Common Stock,KLAC.OQ,2.00%
2017-12-31,1M,Equity Common Stock,KSU.N,2.00%
2017-12-31,1M,Equity Common Stock,K.N,2.00%
2017-12-31,1M,Equity Common Stock,KEY.N,2.00%
2017-12-31,1M,Equity Common Stock,KMB.N,2.00%
2017-12-31,1M,Equity Common Stock,KIM.N,2.00%
2017-12-31,1M,Equity Common Stock,KSS.N,2.00%
2017-12-31,1M,Equity Common Stock,KR.N,2.00%
2017-12-31,1M,Equity Common Stock,LH.N,2.00%
2017-12-31,1M,Equity Common Stock,LRCX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,EL.N,2.00%
2017-12-31,1M,Equity Common Stock,LEG.N,2.00%
2017-12-31,1M,Equity Common Stock,LEN.N,2.00%
2017-12-31,1M,Equity Common Stock,JEF.N,2.00%
2017-12-31,1M,Equity Common Stock,LLY.N,2.00%
2017-12-31,1M,Equity Common Stock,LB.N,2.00%
2017-12-31,1M,Equity Common Stock,LNC.N,2.00%
2017-12-31,1M,Equity Common Stock,LMT.N,2.00%
2017-12-31,1M,Equity Common Stock,L.N,2.00%
2017-12-31,1M,Equity Common Stock,LOW.N,2.00%
2017-12-31,1M,Equity Common Stock,MTB.N,2.00%
2017-12-31,1M,Equity Common Stock,MGM.N,2.00%
2017-12-31,1M,Equity Common Stock,MAC.N,2.00%
2017-12-31,1M,Equity Common Stock,MMC.N,2.00%
2017-12-31,1M,Equity Common Stock,MAR.OQ,2.00%
2017-12-31,1M,Equity Common Stock,MLM.N,2.00%
2017-12-31,1M,Equity Common Stock,MAS.N,2.00%
2017-12-31,1M,Equity Common Stock,MAT.OQ,2.00%
2017-12-31,1M,Equity Common Stock,MKC.N,2.00%
2017-12-31,1M,Equity Common Stock,MCD.N,2.00%
2017-12-31,1M,Equity Common Stock,SPGI.N,2.00%
2017-12-31,1M,Equity Common Stock,MCK.N,2.00%
2017-12-31,1M,Equity Common Stock,MDT.N,2.00%
2017-12-31,1M,Equity Common Stock,BK.N,2.00%
2017-12-31,1M,Equity Common Stock,MSFT.OQ,2.00%
2017-12-31,1M,Equity Common Stock,MCHP.OQ,2.00%
2017-12-31,1M,Equity Common Stock,MU.OQ,2.00%
2017-12-31,1M,Equity Common Stock,MAA.N,2.00%
2017-12-31,1M,Equity Common Stock,MMM.N,2.00%
2017-12-31,1M,Equity Common Stock,MHK.N,2.00%
2017-12-31,1M,Equity Common Stock,MS.N,2.00%
2017-12-31,1M,Equity Common Stock,MSI.N,2.00%
2017-12-31,1M,Equity Common Stock,MYL.OQ,2.00%
2017-12-31,1M,Equity Common Stock,NTAP.OQ,2.00%
2017-12-31,1M,Equity Common Stock,NFX.N,2.00%
2017-12-31,1M,Equity Common Stock,NEM.N,2.00%
2017-12-31,1M,Equity Common Stock,NKE.N,2.00%
2017-12-31,1M,Equity Common Stock,NBL.N,2.00%
2017-12-31,1M,Equity Common Stock,JWN.N,2.00%
2017-12-31,1M,Equity Common Stock,NSC.N,2.00%
2017-12-31,1M,Equity Common Stock,ES.N,2.00%
2017-12-31,1M,Equity Common Stock,XEL.OQ,2.00%
2017-12-31,1M,Equity Common Stock,NTRS.OQ,2.00%
2017-12-31,1M,Equity Common Stock,NOC.N,2.00%
2017-12-31,1M,Equity Common Stock,WFC.N,2.00%
2017-12-31,1M,Equity Common Stock,NUE.N,2.00%
2017-12-31,1M,Equity Common Stock,OXY.N,2.00%
2017-12-31,1M,Equity Common Stock,OMC.N,2.00%
2017-12-31,1M,Equity Common Stock,OKE.N,2.00%
2017-12-31,1M,Equity Common Stock,ORCL.N,2.00%
2017-12-31,1M,Equity Common Stock,ORLY.OQ,2.00%
2017-12-31,1M,Equity Common Stock,EXC.N,2.00%
2017-12-31,1M,Equity Common Stock,PCG.N,2.00%
2017-12-31,1M,Equity Common Stock,PNC.N,2.00%
2017-12-31,1M,Equity Common Stock,PPL.N,2.00%
2017-12-31,1M,Equity Common Stock,PPG.N,2.00%
2017-12-31,1M,Equity Common Stock,PCAR.OQ,2.00%
2017-12-31,1M,Equity Common Stock,PH.N,2.00%
2017-12-31,1M,Equity Common Stock,PAYX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,PNR.N,2.00%
2017-12-31,1M,Equity Common Stock,PBCT.OQ,2.00%
2017-12-31,1M,Equity Common Stock,PEP.OQ,2.00%
2017-12-31,1M,Equity Common Stock,PRGO.N,2.00%
2017-12-31,1M,Equity Common Stock,PFE.N,2.00%
2017-12-31,1M,Equity Common Stock,MO.N,2.00%
2017-12-31,1M,Equity Common Stock,COP.N,2.00%
2017-12-31,1M,Equity Common Stock,PVH.N,2.00%
2017-12-31,1M,Equity Common Stock,PNW.N,2.00%
2017-12-31,1M,Equity Common Stock,PXD.N,2.00%
2017-12-31,1M,Equity Common Stock,PX.N,2.00%
2017-12-31,1M,Equity Common Stock,TROW.OQ,2.00%
2017-12-31,1M,Equity Common Stock,PG.N,2.00%
2017-12-31,1M,Equity Common Stock,PGR.N,2.00%
2017-12-31,1M,Equity Common Stock,PEG.N,2.00%
2017-12-31,1M,Equity Common Stock,PSA.N,2.00%
2017-12-31,1M,Equity Common Stock,PHM.N,2.00%
2017-12-31,1M,Equity Common Stock,QCOM.OQ,2.00%
2017-12-31,1M,Equity Common Stock,PWR.N,2.00%
2017-12-31,1M,Equity Common Stock,RJF.N,2.00%
2017-12-31,1M,Equity Common Stock,O.N,2.00%
2017-12-31,1M,Equity Common Stock,REGN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,REG.N,2.00%
2017-12-31,1M,Equity Common Stock,RMD.N,2.00%
2017-12-31,1M,Equity Common Stock,RHI.N,2.00%
2017-12-31,1M,Equity Common Stock,ROK.N,2.00%
2017-12-31,1M,Equity Common Stock,ROL.N,2.00%
2017-12-31,1M,Equity Common Stock,ROP.N,2.00%
2017-12-31,1M,Equity Common Stock,ROST.OQ,2.00%
2017-12-31,1M,Equity Common Stock,T.N,2.00%
2017-12-31,1M,Equity Common Stock,TRV.N,2.00%
2017-12-31,1M,Equity Common Stock,SCG.N,2.00%
2017-12-31,1M,Equity Common Stock,HSIC.OQ,2.00%
2017-12-31,1M,Equity Common Stock,SLB.N,2.00%
2017-12-31,1M,Equity Common Stock,SCHW.N,2.00%
2017-12-31,1M,Equity Common Stock,SEE.N,2.00%
2017-12-31,1M,Equity Common Stock,SRE.N,2.00%
2017-12-31,1M,Equity Common Stock,SHW.N,2.00%
2017-12-31,1M,Equity Common Stock,SIVB.OQ,2.00%
2017-12-31,1M,Equity Common Stock,SPG.N,2.00%
2017-12-31,1M,Equity Common Stock,AOS.N,2.00%
2017-12-31,1M,Equity Common Stock,SNA.N,2.00%
2017-12-31,1M,Equity Common Stock,SO.N,2.00%
2017-12-31,1M,Equity Common Stock,LUV.N,2.00%
2017-12-31,1M,Equity Common Stock,SWK.N,2.00%
2017-12-31,1M,Equity Common Stock,USB.N,2.00%
2017-12-31,1M,Equity Common Stock,SBUX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,STT.N,2.00%
2017-12-31,1M,Equity Common Stock,SYK.N,2.00%
2017-12-31,1M,Equity Common Stock,STI.N,2.00%
2017-12-31,1M,Equity Common Stock,SYMC.OQ,2.00%
2017-12-31,1M,Equity Common Stock,SNPS.OQ,2.00%
2017-12-31,1M,Equity Common Stock,SYY.N,2.00%
2017-12-31,1M,Equity Common Stock,TJX.N,2.00%
2017-12-31,1M,Equity Common Stock,TXN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,TXT.N,2.00%
2017-12-31,1M,Equity Common Stock,TMO.N,2.00%
2017-12-31,1M,Equity Common Stock,TIF.N,2.00%
2017-12-31,1M,Equity Common Stock,TMK.N,2.00%
2017-12-31,1M,Equity Common Stock,DVA.N,2.00%
2017-12-31,1M,Equity Common Stock,TSS.N,2.00%
2017-12-31,1M,Equity Common Stock,TSCO.OQ,2.00%
2017-12-31,1M,Equity Common Stock,C.N,2.00%
2017-12-31,1M,Equity Common Stock,YUM.N,2.00%
2017-12-31,1M,Equity Common Stock,TSN.N,2.00%
2017-12-31,1M,Equity Common Stock,MRO.N,2.00%
2017-12-31,1M,Equity Common Stock,WM.N,2.00%
2017-12-31,1M,Equity Common Stock,UNP.N,2.00%
2017-12-31,1M,Equity Common Stock,UDR.N,2.00%
2017-12-31,1M,Equity Common Stock,UNH.N,2.00%
2017-12-31,1M,Equity Common Stock,UTX.N,2.00%
2017-12-31,1M,Equity Common Stock,UHS.N,2.00%
2017-12-31,1M,Equity Common Stock,VFC.N,2.00%
2017-12-31,1M,Equity Common Stock,VLO.N,2.00%
2017-12-31,1M,Equity Common Stock,VTR.N,2.00%
2017-12-31,1M,Equity Common Stock,FL.N,2.00%
2017-12-31,1M,Equity Common Stock,VRSN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,VRTX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,VNO.N,2.00%
2017-12-31,1M,Equity Common Stock,VMC.N,2.00%
2017-12-31,1M,Equity Common Stock,WMT.N,2.00%
2017-12-31,1M,Equity Common Stock,WBA.OQ,2.00%
2017-12-31,1M,Equity Common Stock,WAT.N,2.00%
2017-12-31,1M,Equity Common Stock,AGN.N,2.00%
2017-12-31,1M,Equity Common Stock,WDC.OQ,2.00%
2017-12-31,1M,Equity Common Stock,EVRG.N,2.00%
2017-12-31,1M,Equity Common Stock,WY.N,2.00%
2017-12-31,1M,Equity Common Stock,WHR.N,2.00%
2017-12-31,1M,Equity Common Stock,WMB.N,2.00%
2017-12-31,1M,Equity Common Stock,WEC.N,2.00%
2017-12-31,1M,Equity Common Stock,XLNX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,XRX.N,2.00%
2017-12-31,1M,Equity Common Stock,ZION.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CB.N,2.00%
2017-12-31,1M,Equity Common Stock,JCI.N,2.00%
2017-12-31,1M,Equity Common Stock,RCL.N,2.00%
2017-12-31,1M,Equity Common Stock,AMT.N,2.00%
2017-12-31,1M,Equity Common Stock,MCO.N,2.00%
2017-12-31,1M,Equity Common Stock,DGX.N,2.00%
2017-12-31,1M,Equity Common Stock,SRCL.OQ,2.00%
2017-12-31,1M,Equity Common Stock,PLD.N,2.00%
2017-12-31,1M,Equity Common Stock,URI.N,2.00%
2017-12-31,1M,Equity Common Stock,CNP.N,2.00%
2017-12-31,1M,Equity Common Stock,NWL.N,2.00%
2017-12-31,1M,Equity Common Stock,VAR.N,2.00%
2017-12-31,1M,Equity Common Stock,BXP.N,2.00%
2017-12-31,1M,Equity Common Stock,ESS.N,2.00%
2017-12-31,1M,Equity Common Stock,ARE.N,2.00%
2017-12-31,1M,Equity Common Stock,CHRW.OQ,2.00%
2017-12-31,1M,Equity Common Stock,DISH.OQ,2.00%
2017-12-31,1M,Equity Common Stock,LLL.N,2.00%
2017-12-31,1M,Equity Common Stock,MTD.N,2.00%
2017-12-31,1M,Equity Common Stock,IRM.N,2.00%
2017-12-31,1M,Equity Common Stock,SLG.N,2.00%
2017-12-31,1M,Equity Common Stock,NI.N,2.00%
2017-12-31,1M,Equity Common Stock,SWKS.OQ,2.00%
2017-12-31,1M,Equity Common Stock,BAC.N,2.00%
2017-12-31,1M,Equity Common Stock,AMZN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,NOV.N,2.00%
2017-12-31,1M,Equity Common Stock,RL.N,2.00%
2017-12-31,1M,Equity Common Stock,LNT.N,2.00%
2017-12-31,1M,Equity Common Stock,CTL.N,2.00%
2017-12-31,1M,Equity Common Stock,CTSH.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CCI.N,2.00%
2017-12-31,1M,Equity Common Stock,EBAY.OQ,2.00%
2017-12-31,1M,Equity Common Stock,GS.N,2.00%
2017-12-31,1M,Equity Common Stock,NVDA.OQ,2.00%
2017-12-31,1M,Equity Common Stock,BKNG.OQ,2.00%
2017-12-31,1M,Equity Common Stock,RSG.N,2.00%
2017-12-31,1M,Equity Common Stock,UNM.N,2.00%
2017-12-31,1M,Equity Common Stock,COST.OQ,2.00%
2017-12-31,1M,Equity Common Stock,DVN.N,2.00%
2017-12-31,1M,Equity Common Stock,PKI.N,2.00%
2017-12-31,1M,Equity Common Stock,TTWO.OQ,2.00%
2017-12-31,1M,Equity Common Stock,AKAM.OQ,2.00%
2017-12-31,1M,Equity Common Stock,UPS.N,2.00%
2017-12-31,1M,Equity Common Stock,JNPR.N,2.00%
2017-12-31,1M,Equity Common Stock,RHT.N,2.00%
2017-12-31,1M,Equity Common Stock,FLIR.OQ,2.00%
2017-12-31,1M,Equity Common Stock,EW.N,2.00%
2017-12-31,1M,Equity Common Stock,A.N,2.00%
2017-12-31,1M,Equity Common Stock,BLK.N,2.00%
2017-12-31,1M,Equity Common Stock,FFIV.OQ,2.00%
2017-12-31,1M,Equity Common Stock,MET.N,2.00%
2017-12-31,1M,Equity Common Stock,PKG.N,2.00%
2017-12-31,1M,Equity Common Stock,SBAC.OQ,2.00%
